Start,ID,Title,Suggest
true,stoa-of-attalus,Stoa of Attalos,theseion
false,theseion,Theseion,middle-stoa
false,south-stoa-I,South Stoa I,theseion
false,south-stoa-II,South Stoa II,south-stoa-I
false,southwest-fountain,South West Fountain ,theseion
false,middle-stoa,Middle Stoa,south-stoa-I
false,stoa-of-zeus-eleutherios,Stoa of Zeus Eleutherios,
false,temple-of-zeus-phratrios-and-athena-phratria,Temple of Zeus Phratrios and Athena Phratria ,
false,temple-of-apollo-patroos,Temple of Apollo Patroos,
